part_number,display_name,name_cn,quantity,material,object_category,is_standard_part,is_structural_part,source_pdf,evidence
CFNT1003CY8,高锁螺母,高锁螺母,8,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFNT1003CY8  高锁螺母  8  
MS20426AD3-10,实心铆钉,实心铆钉,8,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-10  实心铆钉  8  
MS20426AD3-4,沉头铆钉,沉头铆钉,164,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-4  沉头铆钉  164  
MS20426AD3-5,沉头铆钉,沉头铆钉,614,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-5  沉头铆钉  614  
MS20426AD3-6,沉头铆钉,沉头铆钉,56,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-6  沉头铆钉  56  
MS20426AD3-7,实心铆钉,实心铆钉,12,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-7  实心铆钉  12  
MS20426AD3-8,实心铆钉,实心铆钉,20,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-8  实心铆钉  20  
MS20426AD3-9,实心铆钉,实心铆钉,4,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20426AD3-9  实心铆钉  4  
MS20470AD6-6,铆钉,铆钉,10,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20470AD6-6  铆钉  10  
MS20470AD6-7,实心铆钉,实心铆钉,14,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20470AD6-7  实心铆钉  14  
MS20470AD6-8,铆钉,铆钉,2,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS20470AD6-8  铆钉  2  
MS21076L08N,螺母,螺母,30,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,MS21076L08N  螺母  30  
NAS1169C10,垫圈,垫圈,48,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1169C10  垫圈  48  
NAS1195DD3XH,垫圈,垫圈,93,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1195DD3XH  垫圈  93  
NAS1195DD3XM,垫圈,垫圈,237,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1195DD3XM  垫圈  237  
NAS1580V3T10G,沉头螺栓,沉头螺栓,2,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T10G  沉头螺栓  2  
NAS1580V3T4G,沉头螺栓,沉头螺栓,48,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T4G  沉头螺栓  48  
NAS1580V3T5G,沉头螺栓,沉头螺栓,221,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T5G  沉头螺栓  221  
NAS1580V3T6G,沉头螺栓,沉头螺栓,58,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T6G  沉头螺栓  58  
NAS1580V3T7G,沉头螺栓,沉头螺栓,14,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T7G  沉头螺栓   14  
NAS1580V3T8G,沉头螺栓,沉头螺栓,14,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T8G  沉头螺栓   14  
NAS1580V3T9G,沉头螺栓,沉头螺栓,4,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS1580V3T9G  沉头螺栓   4  
NAS8702U5,螺栓,螺栓,30,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS8702U5  螺栓   30  
NAS8703U4,螺栓,螺栓,32,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS8703U4  螺栓   32  
NAS8703U5,螺栓,螺栓,16,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,NAS8703U5  螺栓   16  
CFBL1003,"钛合金抗拉型凸头高锁螺栓Protruding tension headtitanium hex-drive
bolt","钛合金抗拉型凸头高锁螺栓Protruding tension headtitanium hex-drive
bolt",,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,"CFBL1003   钛合金抗拉型凸头高锁螺栓Protruding tension headtitanium hex-drive
bolt    "
CFNT1001,"抗拉型A286高温合金高锁螺母Tension,A286,collar,assembled withhex-
drive bolt","抗拉型A286高温合金高锁螺母Tension,A286,collar,assembled withhex-
drive bolt",,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,"CFNT1001   抗拉型A286高温合金高锁螺母Tension,A286,collar,assembled withhex-
drive bolt    "
CFBL1002,"钛合金抗剪型100°沉头高锁螺栓100°Flush shear headtitanium hex-
drive bolt","钛合金抗剪型100°沉头高锁螺栓100°Flush shear headtitanium hex-
drive bolt",,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,"CFBL1002   钛合金抗剪型100°沉头高锁螺栓100°Flush shear headtitanium hex-
drive bolt    "
CFNT1003,"高锁螺母，铝合金，抗剪型Collar, aluminium alloy,shear application","高锁螺母，铝合金，抗剪型Collar, aluminium alloy,shear application",,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,"CFNT1003   高锁螺母，铝合金，抗剪型Collar, aluminium alloy,shear application    "
